Sym,logFC,AveExpr,t,P.Value,adj.P.Val,B
TFF1,3.3178121811722,12.7041656528632,42.7059911971866,4.687524507631e-07,0.00498715459114153,5.57937601466627
DKK1,-2.03601554609791,9.85332603221095,-15.1218552140579,4.89935946211651e-05,0.0230970695859512,2.92625471529238
ZNF217,-2.0326820985878,10.8538463553649,-10.6316970798434,0.000231140170210483,0.0337483350902138,1.46903363867485
MYH9,-1.72820420898408,11.2627497314423,-13.6070536141477,7.81817472455864e-05,0.0231224227045976,2.51119928509171
TK1,1.66384924852658,10.6595796445376,37.2278640141435,8.69296599466887e-07,0.00498715459114153,5.38124935865705
CTSD,1.60536886140507,11.6560871309947,12.6324007339847,0.000108521143101705,0.0259410749156035,2.20687380926952
MCM7,1.60265804679642,11.336865139426,7.74742243080153,0.000903722401580662,0.0471619397605958,0.0391071751250003
CLU,-1.6001437197207,13.2903709197964,-11.3795550426391,0.00017170983313236,0.0314975749648878,1.76466224582002
TUBB4B,1.59742750595929,13.4408259515082,16.9761904759558,2.93031400240729e-05,0.0230970695859512,3.35493424036879
NQO1,-1.58904175252507,11.1611589588787,-8.72526595579153,0.000544019564485337,0.0422696901976417,0.583605296994117
TK1,1.46441698132228,10.7840370683578,10.1077459004135,0.000288054590223857,0.0367237596469838,1.24587320890899
TUBB4B,1.46195478220623,12.8449358429765,19.0776207074146,1.74184550931514e-05,0.0202099779426601,3.75646741977688
IGFBP4,1.41915172529521,11.1181531768972,9.48630627227187,0.000379326683284597,0.0392745761093351,0.962215151123933
CD24,-1.40455691070716,10.4560377422529,-10.6860394098866,0.000226054582433825,0.0337483350902138,1.49139467300461
BAK1,-1.38618718321606,10.0329908293382,-12.5031482894967,0.000113548957899564,0.0263767056332406,2.16404825831558
SLC35A1,-1.36921213986892,10.3061606418244,-19.1226674923309,1.72360717196268e-05,0.0202099779426601,3.7642412817249
PRSS23,1.35254928439022,10.6231867486242,13.721666345313,7.53365786008046e-05,0.0231224227045976,2.54494616829839
LDOC1,-1.32439683901111,12.0844294412602,-11.0969240412132,0.000191696150252597,0.0323459062940926,1.65594121361163
RAB31,1.30798731222046,10.5365220738379,7.70669846716428,0.000924148935879186,0.0471619397605958,0.014854435839764
MYBL2,1.30644773924527,9.90284420846569,12.7311054320116,0.000104863155444449,0.0255999967142469,2.23917253005727
MCM6,1.29865343951487,10.3934739538585,7.30954333458831,0.00115569836457708,0.0513972210665017,-0.228886384197342
CD47,-1.29405365064016,11.5724774496841,-7.81713602626863,0.000870005993541616,0.0470158641317914,0.0803150355069926
XBP1,1.28994701014186,12.5029852888034,22.9641098205137,7.60354489884909e-06,0.0202099779426601,4.3241903747527
MCM2,1.2753690373504,10.7792519292827,6.22705337381897,0.00225238304710756,0.0684295606470005,-0.96676297995849
GUSB,-1.2600236970581,12.1629641832136,-9.38045835625791,0.000398190272429182,0.0401045511284205,0.911701362743123
PCNA,1.22115699427724,10.0302713217122,5.19260719336322,0.00469105569218444,0.0867447027612172,-1.79090473000204
CCND1,1.2105324820469,12.4834923348524,7.90012512617091,0.000831828678263271,0.0470158641317914,0.128867063186424
CDKN1A,-1.205900490456,11.2074830901677,-17.8489264691717,2.343958171375e-05,0.0206881354295052,3.53140319449428
KIAA0101,1.20289709263186,10.590313189908,5.50107845046036,0.00372704876411043,0.0795893186149599,-1.5314559364707
HIST2H2BE,-1.19951111860533,10.2817716014137,-8.84792423166764,0.000512334293967429,0.0414620120408429,0.647124294129153
MYO1B,-1.1952967214762,9.9564486086193,-20.6790674780462,1.21521412380931e-05,0.0202099779426601,4.01420399068447
